#ENTRANCE
ToMap	-1
OnMap	0
Here	742 323
There	-1 -1
Vnum	200
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1024 442
There	-1 -1
Vnum	1300
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	816 331
There	-1 -1
Vnum	2099
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	831 381
There	-1 -1
Vnum	2251
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1083 404
There	-1 -1
Vnum	2800
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1271 756
There	-1 -1
Vnum	2850
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	788 365
There	-1 -1
Vnum	2900
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	967 461
There	-1 -1
Vnum	3750
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	236 437
There	-1 -1
Vnum	3800
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1040 352
There	-1 -1
Vnum	3800
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	841 330
There	-1 -1
Vnum	5100
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	831 337
There	-1 -1
Vnum	5482
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	845 311
There	-1 -1
Vnum	6601
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1393 273
There	-1 -1
Vnum	6900
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	165 621
There	-1 -1
Vnum	10300
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	869 333
There	-1 -1
Vnum	10300
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	278 678
There	-1 -1
Vnum	14000
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	864 404
There	-1 -1
Vnum	14000
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	225 599
There	-1 -1
Vnum	21000
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	206 599
There	-1 -1
Vnum	21000
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	807 307
There	-1 -1
Vnum	21000
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	906 328
There	-1 -1
Vnum	28150
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	965 350
There	-1 -1
Vnum	28300
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	773 312
There	-1 -1
Vnum	42502
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1021 305
There	-1 -1
Vnum	42550
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	878 464
There	-1 -1
Vnum	43000
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	793 384
There	-1 -1
Vnum	200050
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1030 287
There	-1 -1
Vnum	200150
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	919 409
There	-1 -1
Vnum	200378
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	985 377
There	-1 -1
Vnum	200400
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	965 411
There	-1 -1
Vnum	200550
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	1059 412
There	-1 -1
Vnum	200650
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	770 468
There	-1 -1
Vnum	200771
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	979 644
There	-1 -1
Vnum	201014
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	985 378
There	-1 -1
Vnum	200400
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	769 468
There	-1 -1
Vnum	200750
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	964 411
There	-1 -1
Vnum	200550
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	688 354
There	-1 -1
Vnum	451
End

#END
